A person is doing Head flexion with static pace, low intensity, and single temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, low intensity, and single temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, high intensity, and single temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm shoulder external rotation with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, low intensity, and single temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, high intensity, and single temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm shoulder external rotation with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, low intensity, and single temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, high intensity, and single temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm shoulder external rotation with fast pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm elbow flexion with static pace, low intensity, and single temporal pattern.
A person is doing Right Arm elbow flexion with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm elbow flexion with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm elbow flexion with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm elbow flexion with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm elbow flexion with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm elbow flexion with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm elbow flexion with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm elbow flexion with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm elbow flexion with static pace, high intensity, and single temporal pattern.
A person is doing Right Arm elbow flexion with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm elbow flexion with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm elbow flexion with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm elbow flexion with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm elbow flexion with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm elbow flexion with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm elbow flexion with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm elbow flexion with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, low intensity, and single temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, high intensity, and single temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm elbow flexion with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, low intensity, and single temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, high intensity, and single temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm elbow flexion with fast pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm elbow extension with static pace, low intensity, and single temporal pattern.
A person is doing Right Arm elbow extension with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm elbow extension with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm elbow extension with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm elbow extension with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm elbow extension with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm elbow extension with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm elbow extension with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm elbow extension with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm elbow extension with static pace, high intensity, and single temporal pattern.
A person is doing Right Arm elbow extension with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm elbow extension with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm elbow extension with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm elbow extension with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm elbow extension with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm elbow extension with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm elbow extension with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm elbow extension with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm elbow extension with slow pace, low intensity, and single temporal pattern.
A person is doing Right Arm elbow extension with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm elbow extension with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm elbow extension with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm elbow extension with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm elbow extension with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm elbow extension with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm elbow extension with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm elbow extension with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm elbow extension with slow pace, high intensity, and single temporal pattern.
A person is doing Right Arm elbow extension with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm elbow extension with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm elbow extension with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm elbow extension with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm elbow extension with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm elbow extension with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm elbow extension with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm elbow extension with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm elbow extension with fast pace, low intensity, and single temporal pattern.
A person is doing Right Arm elbow extension with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm elbow extension with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm elbow extension with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm elbow extension with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm elbow extension with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm elbow extension with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm elbow extension with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm elbow extension with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm elbow extension with fast pace, high intensity, and single temporal pattern.
A person is doing Right Arm elbow extension with fast pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm elbow extension with fast pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm elbow extension with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm elbow extension with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm elbow extension with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm elbow extension with fast pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm elbow extension with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm elbow extension with fast pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm forearm pronation with static pace, low intensity, and single temporal pattern.
A person is doing Right Arm forearm pronation with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm forearm pronation with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm forearm pronation with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm forearm pronation with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm forearm pronation with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm forearm pronation with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm forearm pronation with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm forearm pronation with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm forearm pronation with static pace, high intensity, and single temporal pattern.
A person is doing Right Arm forearm pronation with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm forearm pronation with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm forearm pronation with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm forearm pronation with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm forearm pronation with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm forearm pronation with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm forearm pronation with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm forearm pronation with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, low intensity, and single temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, high intensity, and single temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm forearm pronation with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, low intensity, and single temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, high intensity, and single temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm forearm pronation with fast pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm forearm supination with static pace, low intensity, and single temporal pattern.
A person is doing Right Arm forearm supination with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm forearm supination with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm forearm supination with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm forearm supination with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm forearm supination with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm forearm supination with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm forearm supination with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm forearm supination with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm forearm supination with static pace, high intensity, and single temporal pattern.
A person is doing Right Arm forearm supination with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm forearm supination with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm forearm supination with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm forearm supination with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm forearm supination with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm forearm supination with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm forearm supination with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm forearm supination with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm forearm supination with slow pace, low intensity, and single temporal pattern.
A person is doing Right Arm forearm supination with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm forearm supination with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm forearm supination with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm forearm supination with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm forearm supination with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm forearm supination with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm forearm supination with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm forearm supination with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm forearm supination with slow pace, high intensity, and single temporal pattern.
A person is doing Right Arm forearm supination with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm forearm supination with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm forearm supination with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm forearm supination with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm forearm supination with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm forearm supination with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm forearm supination with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm forearm supination with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm forearm supination with fast pace, low intensity, and single temporal pattern.
A person is doing Right Arm forearm supination with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm forearm supination with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm forearm supination with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm forearm supination with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm forearm supination with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm forearm supination with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm forearm supination with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm forearm supination with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm forearm supination with fast pace, high intensity, and single temporal pattern.
A person is doing Right Arm forearm supination with fast pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm forearm supination with fast pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm forearm supination with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm forearm supination with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm forearm supination with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm forearm supination with fast pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm forearm supination with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm forearm supination with fast pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm wrist flexion with static pace, low intensity, and single temporal pattern.
A person is doing Right Arm wrist flexion with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm wrist flexion with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm wrist flexion with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm wrist flexion with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm wrist flexion with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm wrist flexion with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm wrist flexion with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm wrist flexion with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm wrist flexion with static pace, high intensity, and single temporal pattern.
A person is doing Right Arm wrist flexion with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm wrist flexion with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm wrist flexion with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm wrist flexion with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm wrist flexion with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm wrist flexion with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm wrist flexion with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm wrist flexion with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, low intensity, and single temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, high intensity, and single temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm wrist flexion with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, low intensity, and single temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, high intensity, and single temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm wrist flexion with fast pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm wrist extension with static pace, low intensity, and single temporal pattern.
A person is doing Right Arm wrist extension with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm wrist extension with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm wrist extension with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm wrist extension with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm wrist extension with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm wrist extension with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm wrist extension with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm wrist extension with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm wrist extension with static pace, high intensity, and single temporal pattern.
A person is doing Right Arm wrist extension with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm wrist extension with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm wrist extension with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm wrist extension with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm wrist extension with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm wrist extension with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Arm wrist extension with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Arm wrist extension with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Arm wrist extension with slow pace, low intensity, and single temporal pattern.
A person is doing Right Arm wrist extension with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Arm wrist extension with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Arm wrist extension with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Arm wrist extension with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Arm wrist extension with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Arm wrist extension with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Arm wrist extension with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Arm wrist extension with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Arm wrist extension with slow pace, high intensity, and single temporal pattern.
A person is doing Right Arm wrist extension with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Arm wrist extension with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Arm wrist extension with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Arm wrist extension with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Arm wrist extension with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Arm wrist extension with slow pace, high intensity, and sequential temporal pattern.
